項次,中文品名,英文品名,使用食品範圍及限量,使用限制,類別
1,己二烯酸,Sorbic Acid,"1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、醬菜類、水分含量25％以上（含25％）之蘿蔔乾、醃漬蔬菜、豆皮豆乾類及乾酪；用量以Sorbic Acid計為2.0g/kg以下。 
2.本品可使用於煮熟豆、醬油、味噌、烏魚子、魚貝類乾製品、海藻醬類、豆腐乳、糖漬果實類、脫水水果、糕餅、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Sorbic Acid計為1.0g/kg以下。 
3.本品可使用於不含碳酸飲料、碳酸飲料；用量以Sorbic Acid 計為0.5g/kg以下。
4.本品可使用於膠囊狀、錠狀食品；用量以Sorbic Acid 計為2.0 g/kg以下。",,(一) 防腐劑
2,己二烯酸鉀,Potassium Sorbate,"1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、 醬菜類、水分含量25％以上（含25％）之蘿蔔乾、醃漬蔬菜、豆皮豆乾類及乾酪；用量Sorbic Acid計為2.0g/kg以下。 
2.本品可使用於煮熟豆、醬油、味噌、烏魚子、魚貝類乾製品、海藻醬類、豆腐乳、糖漬果實類、脫水水果、糕餅、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Sorbic Acid計為1.0g/kg以下。 
3.本品可使用於不含碳酸飲料、碳酸飲料；用量以Sorbic Acid 計為0.5g/kg以下。 
4.本品可使用於膠囊狀、錠狀食品；用量以Sorbic Acid 計為2.0 g/kg以下。",,(一) 防腐劑
3,己二烯酸鈉,Sodium Sorbate,"1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、醬菜類、水分含量25％以上（含25％）之蘿蔔乾、醃漬蔬菜、豆皮豆乾類及乾酪；用量以Sorbic Acid計為2.0g/kg以下。 
2.本品可使用於煮熱豆、醬油、味噌、烏魚子、魚貝類乾製品、海藻醬類、豆腐乳、糖漬果實類、脫水水果、糕餅、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Sorbic Acid計為1.0g/kg以下。 
3.本品可使用於不含碳酸飲料、碳酸飲料；用量以Sorbic Acid 計為0.5g/kg以下。 
4.本品可使用於膠囊狀、錠狀食品；用量以Sorbic Acid 計為2.0 g/kg以下。",,(一) 防腐劑
4,丙酸鈣,Calcium Propionate,本品可使用於麵包及糕餅；用量以Propionic Acid計為2.5g/kg以下。,,(一) 防腐劑
5,丙酸鈉,Sodium Propionate,本品可使用於麵包及糕餅；用量以Propionic Acid計為2.5g/kg以下。,,(一) 防腐劑
6,去水醋酸,Dehydroacetic Acid,本品可使用於乾酪、乳酪、奶油及人造奶油；用量以Dehydroacetic Acid計為0.5g/kg以下。,,(一) 防腐劑
7,去水醋酸鈉,Sodium Dehydroacetate,本品可使用於乾酪、乳酪、奶油及人造奶油；用量以Dehydroacetic Acid計為0.5g/kg以下。,,(一) 防腐劑
8,苯甲酸,Benzoic Acid,"1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、乾酪、糖漬果實類、脫水水果、水分含量25％以上（含25％）之蘿蔔乾、煮熟豆、味噌、海藻醬類、豆腐乳、糕餅、醬油、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Benzoic Acid計為1.0g/kg以下。
2.本品可使用於烏魚子、魚貝類乾製品、碳酸飲料、不含碳酸飲料、醬菜類、豆皮豆乾類、醃漬蔬菜；用量以Benzoic Acid為0.6g/kg以下。 
3.本品可使用於膠囊狀、錠狀食品；用量以Benzoic Acid計為2.0 g/kg以下。",,(一) 防腐劑
9,苯甲酸鈉,Sodium Benzoate,"1.本品可使用於魚肉煉製品、肉製品、海膽、魚子醬、花生醬、乾酪、糖漬果實類、脫水水果、水分含量25％以上（含25％）之蘿蔔乾、煮熟豆、味噌、海藻醬類、豆腐乳、糕餅、醬油、果醬、果汁、乳酪、奶油、人造奶油、番茄醬、辣椒醬、濃糖果漿、調味糖漿及其他調味醬；用量以Benzoic Acid計為1.0g/kg以下。
2.本品可使用於烏魚子、魚貝類乾製品、碳酸飲料、不含碳酸飲料、醬菜類、豆皮豆乾類、醃漬蔬菜；用量以Benzoic Acid為0.6g/kg以下。
3.本品可使用於膠囊狀、錠狀食品；用量以Benzoic Acid計為2.0 g/kg以下。",,(一) 防腐劑
10,對羥苯甲酸乙酯,Ethylp-Hydroxybenzoate,"1.本品可使用於豆皮豆乾類及醬油；用量以p-Hydroxybenzoic Acid計為0.25g/kg以下。 
2.本品可使用於醋及不含碳酸飲料；用量以p-Hydroxybenzoic Acid計為0.10g/kg以下。 
3.本品可使用於鮮果及果菜之外皮；用量以p-Hydroxybenzoic Acid計為0.012g/kg以下。",,(一) 防腐劑
